DATE,CLOSE
2022-04-01,450.0
2022-04-04,443.9
2022-04-05,419.0
2022-04-06,405.0
2022-04-07,408.5
2022-04-08,403.05
2022-04-11,414.0
2022-04-12,412.1
2022-04-13,406.05
2022-04-14,391.0
2022-04-15,390.5
2022-04-18,384.85
2022-04-19,385.0
2022-04-20,391.0
2022-04-21,388.0
2022-04-22,397.35
2022-04-25,388.5
2022-04-26,391.0
2022-04-27,397.95
2022-04-28,400.0
2022-04-29,409.0
2022-05-04,396.2
2022-05-05,397.0
2022-05-06,392.3
2022-05-11,391.55
2022-05-12,375.0
2022-05-13,374.95
2022-05-16,378.8
2022-05-17,394.7
2022-05-18,404.0
2022-05-19,399.6
2022-05-20,384.25
2022-05-23,367.05
2022-05-24,359.2
2022-05-25,378.0
2022-05-26,391.7
2022-05-27,401.5
2022-05-30,385.1
2022-05-31,377.0
2022-06-01,375.95
2022-06-02,368.75
2022-06-03,365.45
2022-06-06,368.8
2022-06-07,366.55
2022-06-08,372.85
2022-06-09,373.25
2022-06-10,369.5
2022-06-14,371.6
2022-06-15,375.65
2022-06-16,383.0
2022-06-17,384.45
2022-06-20,389.8
2022-06-21,381.3
2022-06-22,377.6
2022-06-23,378.4
2022-06-24,377.0
2022-06-27,376.65
2022-06-28,381.85
2022-06-29,384.2
2022-06-30,362.25
2022-07-01,375.15
2022-07-04,371.6
2022-07-05,371.5
2022-07-06,369.65
2022-07-07,364.95
2022-07-08,351.2
2022-07-11,343.8
2022-07-12,333.5
2022-07-13,321.0
2022-07-14,315.45
2022-07-15,330.5
2022-07-18,326.0
2022-07-19,320.75
2022-07-20,330.0
2022-07-21,328.2
2022-07-22,340.0
2022-07-25,336.6
2022-07-26,347.0
2022-07-27,348.7
2022-07-28,344.3
2022-07-29,353.0
2022-08-01,348.0
2022-08-02,335.8
2022-08-03,330.25
2022-08-04,324.6
2022-08-05,322.7
2022-08-08,327.35
2022-08-09,339.65
2022-08-10,339.5
2022-08-11,333.0
2022-08-12,336.2
2022-08-15,335.9
2022-08-16,348.0
2022-08-17,344.1
2022-08-18,346.4
2022-08-19,344.8
2022-08-22,349.6
2022-08-23,356.0
2022-08-24,358.2
2022-08-25,355.6
2022-08-26,361.5
2022-08-29,367.3
2022-08-30,361.3
2022-08-31,368.0
2022-09-01,373.5
2022-09-02,385.1
2022-09-05,385.1
2022-09-06,375.7
2022-09-07,375.95
2022-09-08,374.4
2022-09-09,378.0
2022-09-12,379.4
2022-09-13,373.4
2022-09-14,375.75
2022-09-15,367.3
2022-09-16,359.05
2022-09-19,358.25
2022-09-20,330.9
2022-09-21,312.55
2022-09-22,315.5
2022-09-23,296.7
2022-09-26,257.9
2022-09-27,266.95
2022-09-28,263.0
2022-09-29,256.05
2022-09-30,264.05
2022-10-03,287.9
2022-10-04,283.75
2022-10-05,283.0
2022-10-06,286.8
2022-10-07,269.0
2022-10-10,277.85
2022-10-11,287.3
2022-10-12,292.0
2022-10-13,298.8
2022-10-14,299.55
2022-10-17,313.45
2022-10-18,305.45
2022-10-19,307.95
2022-10-20,310.85
2022-10-21,311.3
2022-10-24,313.6
2022-10-25,332.4
2022-10-26,340.65
2022-10-27,343.85
2022-10-28,341.8
2022-10-31,333.9
2022-11-01,332.35
2022-11-02,333.7
2022-11-03,335.0
2022-11-07,356.7
2022-11-08,351.95
2022-11-09,348.6
2022-11-10,358.25
2022-11-11,356.95
2022-11-14,350.85
2022-11-15,338.4
2022-11-16,342.5
2022-11-17,336.95
2022-11-18,336.9
2022-11-21,331.85
2022-11-22,334.95
2022-11-23,337.95
2022-11-24,334.75
2022-11-25,335.9
2022-11-28,333.2
2022-11-29,335.9
2022-11-30,336.25
2022-12-01,335.9
2022-12-02,335.0
2022-12-05,340.45
2022-12-06,336.0
2022-12-07,335.1
2022-12-08,333.7
2022-12-09,336.15
2022-12-12,335.2
2022-12-13,337.4
2022-12-14,333.5
2022-12-15,328.0
2022-12-16,330.9
2022-12-19,333.0
2022-12-20,344.15
2022-12-21,345.2
2022-12-22,344.7
2022-12-23,343.3
2022-12-26,352.4
2022-12-27,355.45
2022-12-28,355.1
2022-12-29,359.6
2022-12-30,365.4
2023-01-03,368.05
2023-01-04,365.8
2023-01-05,367.5
2023-01-06,367.3
2023-01-09,367.95
2023-01-10,366.75
2023-01-11,347.35
2023-01-12,346.85
2023-01-13,346.05
2023-01-16,345.8
2023-01-17,341.35
2023-01-18,344.15
2023-01-19,339.8
2023-01-20,336.55
2023-01-23,340.05
2023-01-24,336.75
2023-01-25,338.2
2023-01-26,335.0
2023-01-27,336.95
2023-01-30,337.65
2023-01-31,340.75
2023-02-01,343.0
2023-02-02,342.1
2023-02-03,341.85
2023-02-06,347.1
2023-02-07,355.25
2023-02-08,349.85
2023-02-09,350.2
2023-02-10,351.0
2023-02-13,349.4
2023-02-14,344.2
2023-02-15,339.6
2023-02-16,342.55
2023-02-17,345.1
2023-02-20,347.1
2023-02-21,352.65
2023-02-22,353.75
2023-02-24,352.45
2023-02-27,357.75
2023-02-28,358.4
2023-03-01,361.4
2023-03-02,355.05
2023-03-03,358.8
2023-03-06,365.35
2023-03-07,364.3
2023-03-09,364.0
2023-03-10,365.9
2023-03-13,363.5
2023-03-14,364.55
2023-03-15,357.95
2023-03-16,359.2
2023-03-17,365.2
2023-03-20,377.4
2023-03-21,371.8
2023-03-22,375.5
2023-03-23,374.45
2023-03-24,377.25
2023-03-27,383.25
