<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,20220519,000000,1699.0000000,1713.0000000,1640.0000000,1705.0000000,203252
YNDX,D,20220520,000000,1721.8000000,1733.4000000,1600.0000000,1646.0000000,260762
YNDX,D,20220523,000000,1640.0000000,1673.8000000,1570.6000000,1592.8000000,199081
YNDX,D,20220524,000000,1590.2000000,1629.0000000,1530.2000000,1590.0000000,196650
YNDX,D,20220525,000000,1594.0000000,1636.0000000,1572.0000000,1608.0000000,187667
YNDX,D,20220526,000000,1617.8000000,1708.6000000,1608.0000000,1670.0000000,460793
YNDX,D,20220527,000000,1685.6000000,1705.0000000,1630.0000000,1644.0000000,220303
YNDX,D,20220530,000000,1652.6000000,1663.0000000,1592.2000000,1597.6000000,213919
YNDX,D,20220531,000000,1590.0000000,1602.0000000,1550.4000000,1567.8000000,151631
YNDX,D,20220601,000000,1567.0000000,1623.0000000,1559.0000000,1586.0000000,226402
YNDX,D,20220602,000000,1590.0000000,1607.6000000,1564.6000000,1592.0000000,203846
YNDX,D,20220603,000000,1591.0000000,1620.0000000,1366.4000000,1497.0000000,1367133
YNDX,D,20220606,000000,1504.6000000,1525.6000000,1385.0000000,1399.8000000,903197
YNDX,D,20220607,000000,1395.0000000,1442.6000000,1333.0000000,1438.0000000,759930
YNDX,D,20220608,000000,1450.0000000,1495.0000000,1441.4000000,1456.2000000,368870
YNDX,D,20220609,000000,1458.0000000,1461.2000000,1382.0000000,1401.4000000,379390
YNDX,D,20220610,000000,1390.0000000,1470.0000000,1350.0000000,1400.8000000,492575
YNDX,D,20220614,000000,1380.0000000,1429.2000000,1360.0000000,1386.0000000,323484
YNDX,D,20220615,000000,1390.6000000,1407.8000000,1380.2000000,1390.0000000,239546
YNDX,D,20220616,000000,1404.0000000,1457.0000000,1390.0000000,1456.2000000,473524
YNDX,D,20220617,000000,1460.4000000,1511.4000000,1433.4000000,1465.0000000,453160
YNDX,D,20220620,000000,1468.0000000,1566.0000000,1467.8000000,1560.8000000,569095
YNDX,D,20220621,000000,1574.0000000,1629.0000000,1531.2000000,1533.8000000,591291
YNDX,D,20220622,000000,1525.0000000,1600.0000000,1500.4000000,1600.0000000,331398
YNDX,D,20220623,000000,1603.6000000,1669.0000000,1581.0000000,1662.0000000,460065
YNDX,D,20220624,000000,1665.0000000,1680.0000000,1610.4000000,1645.0000000,245110
YNDX,D,20220627,000000,1660.0000000,1779.0000000,1645.2000000,1779.0000000,522537
YNDX,D,20220628,000000,1781.2000000,1781.2000000,1731.2000000,1750.0000000,394456
YNDX,D,20220629,000000,1748.0000000,1748.8000000,1666.2000000,1712.0000000,309255
YNDX,D,20220630,000000,1710.0000000,1730.0000000,1565.8000000,1603.8000000,489807
YNDX,D,20220701,000000,1595.2000000,1627.0000000,1552.0000000,1596.0000000,215038
YNDX,D,20220704,000000,1604.6000000,1688.0000000,1571.8000000,1660.0000000,316882
YNDX,D,20220705,000000,1679.8000000,1742.0000000,1660.0000000,1701.4000000,357880
YNDX,D,20220706,000000,1720.4000000,1748.0000000,1634.8000000,1655.0000000,400756
YNDX,D,20220707,000000,1660.2000000,1729.0000000,1660.2000000,1711.0000000,417994
YNDX,D,20220708,000000,1720.2000000,1739.4000000,1685.4000000,1704.0000000,261884
YNDX,D,20220711,000000,1706.0000000,1740.0000000,1660.0000000,1678.0000000,359813
YNDX,D,20220712,000000,1679.8000000,1680.6000000,1595.0000000,1660.6000000,409730
YNDX,D,20220713,000000,1660.6000000,1688.8000000,1586.0000000,1600.0000000,239032
YNDX,D,20220714,000000,1610.2000000,1669.0000000,1572.0000000,1613.6000000,304258
YNDX,D,20220715,000000,1626.0000000,1642.0000000,1602.6000000,1638.6000000,225685
YNDX,D,20220718,000000,1650.0000000,1719.6000000,1645.0000000,1696.0000000,436145
YNDX,D,20220719,000000,1699.8000000,1705.8000000,1645.0000000,1672.4000000,313716
YNDX,D,20220720,000000,1680.0000000,1748.0000000,1670.4000000,1715.4000000,438717
YNDX,D,20220721,000000,1720.6000000,1733.8000000,1658.6000000,1701.0000000,216408
YNDX,D,20220722,000000,1708.0000000,1804.0000000,1706.2000000,1800.0000000,606519
YNDX,D,20220725,000000,1827.0000000,1978.8000000,1810.0000000,1973.0000000,1198889
YNDX,D,20220726,000000,1994.0000000,2170.0000000,1975.2000000,2136.0000000,2860775
YNDX,D,20220727,000000,2149.0000000,2150.0000000,2020.0000000,2072.0000000,1808534
YNDX,D,20220728,000000,2085.0000000,2109.0000000,2038.0000000,2063.0000000,569081
YNDX,D,20220729,000000,2055.0000000,2078.0000000,1950.0000000,1952.0000000,1286947
YNDX,D,20220801,000000,1948.0000000,1973.0000000,1852.2000000,1926.2000000,979741
YNDX,D,20220802,000000,1922.8000000,1948.0000000,1860.2000000,1891.2000000,642364
YNDX,D,20220803,000000,1898.0000000,1986.2000000,1895.0000000,1956.0000000,709763
YNDX,D,20220804,000000,1985.0000000,2032.0000000,1975.0000000,2000.0000000,704153
YNDX,D,20220805,000000,2030.4000000,2030.4000000,1811.2000000,1837.0000000,1358695
YNDX,D,20220808,000000,1984.0000000,1985.6000000,1893.0000000,1933.0000000,896927
YNDX,D,20220809,000000,1935.0000000,1949.0000000,1887.6000000,1944.4000000,428532
YNDX,D,20220810,000000,1944.4000000,1989.0000000,1930.2000000,1971.8000000,392508
YNDX,D,20220811,000000,1981.0000000,2014.4000000,1901.0000000,1915.6000000,570623
YNDX,D,20220812,000000,1915.0000000,1948.8000000,1888.8000000,1903.0000000,507510
YNDX,D,20220815,000000,1908.8000000,1933.0000000,1872.2000000,1904.0000000,349933
YNDX,D,20220816,000000,1917.6000000,1940.8000000,1901.0000000,1935.0000000,226498
YNDX,D,20220817,000000,1940.0000000,1979.2000000,1930.2000000,1958.0000000,316563
YNDX,D,20220818,000000,1962.0000000,1975.0000000,1943.0000000,1966.0000000,207864
YNDX,D,20220819,000000,1964.0000000,1965.0000000,1920.0000000,1936.6000000,191253
YNDX,D,20220822,000000,1936.6000000,2022.0000000,1920.4000000,2006.0000000,578456
YNDX,D,20220823,000000,2011.8000000,2089.0000000,2011.0000000,2082.2000000,756212
YNDX,D,20220824,000000,2095.0000000,2123.0000000,2070.0000000,2085.2000000,535171
YNDX,D,20220825,000000,2086.0000000,2120.0000000,2085.0000000,2118.8000000,424759
YNDX,D,20220826,000000,2120.0000000,2130.0000000,2089.4000000,2100.0000000,309737
YNDX,D,20220829,000000,2100.0000000,2112.0000000,2081.8000000,2105.0000000,281092
YNDX,D,20220830,000000,2107.6000000,2205.0000000,2096.0000000,2190.0000000,1021768
YNDX,D,20220831,000000,2199.0000000,2236.0000000,2111.2000000,2170.6000000,692807
YNDX,D,20220901,000000,2180.0000000,2195.4000000,2150.4000000,2178.0000000,300430
YNDX,D,20220902,000000,2177.6000000,2180.0000000,2116.0000000,2150.0000000,423558
YNDX,D,20220905,000000,2155.0000000,2160.0000000,2121.6000000,2155.0000000,210953
YNDX,D,20220906,000000,2156.6000000,2183.0000000,2007.2000000,2070.0000000,856283
YNDX,D,20220907,000000,2071.0000000,2105.6000000,2034.0000000,2076.0000000,385611
YNDX,D,20220908,000000,2076.0000000,2095.0000000,2036.0000000,2064.0000000,303647
YNDX,D,20220909,000000,2071.2000000,2095.0000000,2042.0000000,2093.0000000,243031
YNDX,D,20220912,000000,2089.8000000,2181.6000000,2078.0000000,2148.6000000,797013
YNDX,D,20220913,000000,2160.0000000,2206.6000000,2142.4000000,2191.4000000,786628
YNDX,D,20220914,000000,2192.8000000,2192.8000000,2109.4000000,2167.4000000,521919
YNDX,D,20220915,000000,2166.0000000,2195.0000000,2151.2000000,2177.6000000,421177
YNDX,D,20220916,000000,2180.0000000,2238.0000000,2175.0000000,2206.0000000,780976
YNDX,D,20220919,000000,2207.0000000,2250.0000000,2198.0000000,2230.0000000,513110
