<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,20220714,000000,320.0000000,324.7500000,311.5000000,315.4500000,3524456
ROSN,D,20220715,000000,316.7500000,332.5000000,314.0500000,330.5000000,3847696
ROSN,D,20220718,000000,334.1500000,334.5500000,322.2000000,326.0000000,2760087
ROSN,D,20220719,000000,325.9000000,327.2000000,316.2500000,320.7500000,1953143
ROSN,D,20220720,000000,322.1500000,333.7500000,319.6500000,330.0000000,3145115
ROSN,D,20220721,000000,330.2500000,332.9000000,318.5500000,328.2000000,2399635
ROSN,D,20220722,000000,329.4000000,341.4500000,328.5000000,340.0000000,3929627
ROSN,D,20220725,000000,339.0000000,342.2000000,335.0000000,336.6000000,2013698
ROSN,D,20220726,000000,339.5000000,347.0000000,338.0500000,347.0000000,2843250
ROSN,D,20220727,000000,347.0000000,352.5000000,345.0500000,348.7000000,2811572
ROSN,D,20220728,000000,349.4500000,351.6500000,340.2000000,344.3000000,2275177
ROSN,D,20220729,000000,343.5500000,354.5500000,341.7000000,353.0000000,4175426
ROSN,D,20220801,000000,354.2000000,354.4500000,345.4000000,348.0000000,4261483
ROSN,D,20220802,000000,346.5000000,347.9500000,334.0000000,335.8000000,3330843
ROSN,D,20220803,000000,336.8000000,338.9500000,329.0000000,330.2500000,2719183
ROSN,D,20220804,000000,330.2000000,330.3000000,323.0000000,324.6000000,2346079
ROSN,D,20220805,000000,325.3500000,327.0000000,316.1000000,322.7000000,3255246
ROSN,D,20220808,000000,331.5000000,332.7000000,324.2500000,327.3500000,2629447
ROSN,D,20220809,000000,327.4000000,340.3000000,324.1000000,339.6500000,2738993
ROSN,D,20220810,000000,339.9500000,340.7000000,335.0000000,339.5000000,2081531
ROSN,D,20220811,000000,341.1500000,342.8000000,333.0000000,333.0000000,2529858
ROSN,D,20220812,000000,332.8000000,337.3000000,330.6500000,336.2000000,1376997
ROSN,D,20220815,000000,335.9000000,338.0000000,332.5500000,335.9000000,1562737
ROSN,D,20220816,000000,337.0000000,349.4500000,335.6500000,348.0000000,4026238
ROSN,D,20220817,000000,348.9500000,351.0000000,342.8500000,344.1000000,2324271
ROSN,D,20220818,000000,344.0000000,347.4500000,341.6000000,346.4000000,1564580
ROSN,D,20220819,000000,346.3500000,347.1500000,343.1500000,344.8000000,1066531
ROSN,D,20220822,000000,344.4000000,349.6000000,343.6000000,349.6000000,1992519
ROSN,D,20220823,000000,349.0000000,356.3000000,347.1500000,356.0000000,3345305
ROSN,D,20220824,000000,356.6000000,359.4500000,356.0000000,358.2000000,2530264
ROSN,D,20220825,000000,358.8500000,360.0000000,353.2000000,355.6000000,2184378
ROSN,D,20220826,000000,356.2500000,361.9000000,354.4500000,361.5000000,1570917
ROSN,D,20220829,000000,361.7500000,368.9500000,361.1000000,367.3000000,2618097
ROSN,D,20220830,000000,367.7000000,370.0000000,360.5000000,361.3000000,3832323
ROSN,D,20220831,000000,372.0000000,381.4000000,364.5000000,368.0000000,5308646
ROSN,D,20220901,000000,368.0000000,374.0000000,361.8000000,373.5000000,5054994
ROSN,D,20220902,000000,375.0500000,389.9500000,373.5000000,385.1000000,8632583
ROSN,D,20220905,000000,386.5000000,387.7500000,372.0000000,385.1000000,4103293
ROSN,D,20220906,000000,384.9000000,385.8500000,362.0000000,375.7000000,8055908
ROSN,D,20220907,000000,374.9000000,382.8500000,368.0000000,375.9500000,5268899
ROSN,D,20220908,000000,375.0000000,376.0000000,368.2500000,374.4000000,2755050
ROSN,D,20220909,000000,375.1000000,378.8000000,371.5500000,378.0000000,3844883
ROSN,D,20220912,000000,377.5000000,383.7500000,374.7000000,379.4000000,3690272
ROSN,D,20220913,000000,380.7500000,381.2500000,372.0500000,373.4000000,2617199
ROSN,D,20220914,000000,373.0000000,377.5000000,366.9000000,375.7500000,3974919
ROSN,D,20220915,000000,377.0000000,382.9000000,364.0000000,367.3000000,14038205
ROSN,D,20220916,000000,367.2000000,367.2000000,358.3000000,359.0500000,7936431
ROSN,D,20220919,000000,356.9500000,362.9000000,355.1000000,358.2500000,3368523
ROSN,D,20220920,000000,356.7000000,357.8000000,313.0500000,330.9000000,18176875
ROSN,D,20220921,000000,288.0000000,323.6000000,278.2000000,312.5500000,12375456
ROSN,D,20220922,000000,312.5500000,323.5000000,309.6000000,315.5000000,6830775
ROSN,D,20220923,000000,315.5000000,315.5500000,293.0500000,296.7000000,8325513
ROSN,D,20220926,000000,289.9500000,289.9500000,252.2000000,257.9000000,14870275
ROSN,D,20220927,000000,263.1000000,270.5500000,255.0000000,266.9500000,9501928
ROSN,D,20220928,000000,265.9000000,272.0000000,257.5500000,263.0000000,6308755
ROSN,D,20220929,000000,262.9500000,266.4500000,249.5000000,256.0500000,8565457
ROSN,D,20220930,000000,258.0500000,269.9000000,245.6500000,264.0500000,9066974
ROSN,D,20221003,000000,266.3000000,287.9000000,265.2500000,287.9000000,8551298
ROSN,D,20221004,000000,289.9000000,292.3000000,276.2000000,283.7500000,8373023
ROSN,D,20221005,000000,283.3000000,289.3500000,265.1000000,283.0000000,13128938
ROSN,D,20221006,000000,285.0000000,295.9500000,281.6500000,286.8000000,8274505
ROSN,D,20221007,000000,285.8500000,287.2000000,268.5000000,269.0000000,8090116
ROSN,D,20221010,000000,259.1000000,279.0000000,259.0500000,277.8500000,8342785
ROSN,D,20221011,000000,278.2000000,288.0000000,276.2000000,287.3000000,4617571
ROSN,D,20221012,000000,288.3000000,294.2000000,281.0500000,292.0000000,5575181
ROSN,D,20221013,000000,292.1500000,299.6000000,290.3500000,298.8000000,6541309
ROSN,D,20221014,000000,299.9000000,302.8000000,292.2500000,299.5500000,5740682
ROSN,D,20221017,000000,300.0000000,314.5000000,298.0500000,313.4500000,7376758
ROSN,D,20221018,000000,315.2000000,316.6000000,302.9000000,305.4500000,6853417
ROSN,D,20221019,000000,303.9500000,309.5000000,298.2500000,307.9500000,6067793
ROSN,D,20221020,000000,309.8000000,314.0000000,306.2000000,310.8500000,4740409
ROSN,D,20221021,000000,310.8000000,312.9000000,305.0500000,311.3000000,3571708
ROSN,D,20221024,000000,313.0000000,316.5500000,311.3500000,313.6000000,3001916
ROSN,D,20221025,000000,313.0000000,332.4000000,312.2500000,332.4000000,8595433
ROSN,D,20221026,000000,333.0000000,342.4000000,326.1500000,340.6500000,10277381
ROSN,D,20221027,000000,341.6000000,347.9500000,337.7000000,343.8500000,8412338
ROSN,D,20221028,000000,342.1500000,344.5500000,338.2000000,341.8000000,5157149
ROSN,D,20221031,000000,341.8500000,342.9500000,331.2500000,333.9000000,6383877
ROSN,D,20221101,000000,334.8000000,335.9500000,330.0500000,332.3500000,3190664
ROSN,D,20221102,000000,333.2000000,339.7000000,330.5000000,333.7000000,4335100
ROSN,D,20221103,000000,333.4500000,335.8500000,328.8500000,335.0000000,3999284
ROSN,D,20221107,000000,338.0000000,357.4500000,337.3000000,356.7000000,12052408
ROSN,D,20221108,000000,356.8000000,359.2000000,349.3000000,351.9500000,6699700
ROSN,D,20221109,000000,350.9500000,353.1000000,346.1500000,348.6000000,5644304
ROSN,D,20221110,000000,348.6000000,359.8500000,348.0000000,358.2500000,5927437
ROSN,D,20221111,000000,360.0000000,363.5000000,350.0000000,356.9500000,8625336
ROSN,D,20221114,000000,357.6500000,358.6000000,348.3500000,350.8500000,6913315
ROSN,D,20221115,000000,350.5000000,351.0000000,326.7500000,338.4000000,7654743
ROSN,D,20221116,000000,339.9500000,344.9500000,338.5000000,342.5000000,3552415
ROSN,D,20221117,000000,342.4000000,343.4000000,335.2000000,336.9500000,3692948
ROSN,D,20221118,000000,336.6500000,338.4000000,332.8500000,336.9000000,2564558
ROSN,D,20221121,000000,335.6000000,336.1000000,324.8000000,331.8500000,6241129
ROSN,D,20221122,000000,331.9000000,337.1000000,330.4000000,334.9500000,3797480
ROSN,D,20221123,000000,335.8000000,339.5000000,331.2500000,337.9500000,3929361
ROSN,D,20221124,000000,338.2500000,339.2000000,333.7500000,334.7500000,2218152
ROSN,D,20221125,000000,334.1000000,337.0000000,332.4000000,335.9000000,1942921
ROSN,D,20221128,000000,332.7500000,334.8000000,328.0500000,333.2000000,4274004
ROSN,D,20221129,000000,335.0500000,337.5000000,333.6000000,335.9000000,1714394
ROSN,D,20221130,000000,336.1000000,336.6000000,334.1500000,336.2500000,1228651
ROSN,D,20221201,000000,336.4000000,338.3500000,334.8500000,335.9000000,1975277
ROSN,D,20221202,000000,336.1000000,336.3500000,334.2000000,335.0000000,1036774
ROSN,D,20221205,000000,334.9000000,344.7000000,333.2500000,340.4500000,4040604
ROSN,D,20221206,000000,341.5000000,343.3000000,335.2500000,336.0000000,1934247
ROSN,D,20221207,000000,335.8500000,337.0000000,330.5000000,335.1000000,3295443
ROSN,D,20221208,000000,335.7500000,336.9500000,333.1500000,333.7000000,1116998
ROSN,D,20221209,000000,334.0000000,337.0000000,333.3500000,336.1500000,1416085
ROSN,D,20221212,000000,336.2000000,339.7000000,333.0000000,335.2000000,1585537
ROSN,D,20221213,000000,336.0000000,337.9500000,334.0500000,337.4000000,1232486
ROSN,D,20221214,000000,337.5500000,337.9000000,333.0500000,333.5000000,1407458
ROSN,D,20221215,000000,333.6000000,334.0000000,327.4000000,328.0000000,2220999
ROSN,D,20221216,000000,328.2500000,331.9500000,326.0500000,330.9000000,1595817
ROSN,D,20221219,000000,330.9500000,337.0000000,329.1000000,333.0000000,1978774
ROSN,D,20221220,000000,334.0000000,345.2000000,333.1000000,344.1500000,3291044
ROSN,D,20221221,000000,346.0000000,348.0000000,340.3500000,345.2000000,2998701
ROSN,D,20221222,000000,346.2000000,348.2000000,343.1500000,344.7000000,2000261
ROSN,D,20221223,000000,345.0000000,346.2500000,340.3000000,343.3000000,1398401
ROSN,D,20221226,000000,343.7000000,353.1500000,343.7000000,352.4000000,3574585
ROSN,D,20221227,000000,353.2000000,356.3000000,352.5000000,355.4500000,2134255
ROSN,D,20221228,000000,355.5500000,356.6500000,353.9000000,355.1000000,1786398
ROSN,D,20221229,000000,354.4500000,360.6500000,354.0500000,359.6000000,2420848
ROSN,D,20221230,000000,360.3000000,365.7500000,359.1500000,365.4000000,2507541
ROSN,D,20230103,000000,367.9500000,372.7500000,366.2000000,368.0500000,2635083
ROSN,D,20230104,000000,366.8000000,367.6000000,363.2500000,365.8000000,1789053
ROSN,D,20230105,000000,366.9000000,369.0000000,365.8000000,367.5000000,1321431
ROSN,D,20230106,000000,367.8000000,368.5000000,366.7500000,367.3000000,937068
ROSN,D,20230109,000000,368.2000000,369.7000000,366.0500000,367.9500000,4329092
ROSN,D,20230110,000000,367.5000000,368.0000000,362.2000000,366.7500000,5570861
ROSN,D,20230111,000000,347.7000000,350.5000000,345.0000000,347.3500000,8044367
ROSN,D,20230112,000000,347.2000000,347.8000000,345.6000000,346.8500000,1526709
ROSN,D,20230113,000000,345.9500000,347.0000000,345.3500000,346.0500000,1402647
ROSN,D,20230116,000000,346.4500000,347.6000000,345.0500000,345.8000000,1708966
ROSN,D,20230117,000000,345.8000000,345.9000000,340.3000000,341.3500000,2007008
ROSN,D,20230118,000000,340.3500000,345.9000000,340.1500000,344.1500000,2037299
ROSN,D,20230119,000000,343.3500000,343.8500000,339.0000000,339.8000000,1690616
ROSN,D,20230120,000000,339.9000000,340.4500000,334.5000000,336.5500000,2284023
ROSN,D,20230123,000000,338.4500000,340.2500000,336.2000000,340.0500000,1145184
ROSN,D,20230124,000000,340.9000000,343.0000000,335.8000000,336.7500000,1841876
ROSN,D,20230125,000000,336.5500000,338.8000000,335.4000000,338.2000000,1287985
ROSN,D,20230126,000000,338.4000000,339.2000000,334.1000000,335.0000000,2092559
ROSN,D,20230127,000000,335.0000000,337.8000000,333.4000000,336.9500000,1448818
ROSN,D,20230130,000000,337.1000000,338.7000000,335.5000000,337.6500000,1338101
ROSN,D,20230131,000000,337.1000000,340.9000000,337.1000000,340.7500000,2098303
ROSN,D,20230201,000000,340.9500000,344.4000000,340.9000000,343.0000000,2819914
ROSN,D,20230202,000000,344.0000000,344.9500000,341.4500000,342.1000000,1673667
ROSN,D,20230203,000000,341.9500000,343.7500000,339.0000000,341.8500000,1672596
ROSN,D,20230206,000000,341.4500000,347.9500000,341.1000000,347.1000000,2995646
ROSN,D,20230207,000000,348.0000000,358.1500000,346.7500000,355.2500000,5376588
ROSN,D,20230208,000000,355.7500000,359.3500000,348.0500000,349.8500000,4770176
ROSN,D,20230209,000000,359.2500000,359.3000000,347.0500000,350.2000000,2588044
ROSN,D,20230210,000000,349.1000000,351.8000000,347.3000000,351.0000000,1610662
ROSN,D,20230213,000000,350.2500000,355.0000000,349.2000000,349.4000000,1646336
ROSN,D,20230214,000000,349.8000000,350.4000000,343.5000000,344.2000000,3186088
ROSN,D,20230215,000000,343.4500000,346.0000000,334.4000000,339.6000000,3431162
ROSN,D,20230216,000000,341.2500000,344.9500000,340.5500000,342.5500000,1701978
ROSN,D,20230217,000000,341.6500000,346.8000000,339.4000000,345.1000000,1785199
ROSN,D,20230220,000000,345.1000000,348.4500000,339.0000000,347.1000000,2425494
ROSN,D,20230221,000000,347.0000000,354.6000000,347.0000000,352.6500000,3527598
ROSN,D,20230222,000000,352.7000000,354.6500000,349.4000000,353.7500000,1608221
ROSN,D,20230224,000000,354.1000000,355.6500000,350.1500000,352.4500000,1163806
ROSN,D,20230227,000000,350.7500000,359.0000000,350.3500000,357.7500000,2345050
ROSN,D,20230228,000000,357.7500000,361.3500000,356.3500000,358.4000000,2607421
ROSN,D,20230301,000000,359.1500000,364.4500000,358.6000000,361.4000000,2677111
ROSN,D,20230302,000000,361.5500000,361.9000000,354.1500000,355.0500000,3621043
ROSN,D,20230303,000000,354.2000000,359.6000000,354.2000000,358.8000000,1633385
ROSN,D,20230306,000000,361.8000000,365.9500000,359.8000000,365.3500000,2468996
ROSN,D,20230307,000000,365.4000000,366.0000000,362.7500000,364.3000000,2050678
