DATE,CLOSE
2022-04-01,251.4
2022-04-04,252.9
2022-04-05,243.5
2022-04-06,239.7
2022-04-07,245.0
2022-04-08,241.07
2022-04-11,234.55
2022-04-12,236.3
2022-04-13,234.87
2022-04-14,222.11
2022-04-15,224.0
2022-04-18,216.99
2022-04-19,220.72
2022-04-20,218.92
2022-04-21,210.29
2022-04-22,208.0
2022-04-25,206.35
2022-04-26,225.85
2022-04-27,237.15
2022-04-28,237.53
2022-04-29,240.4
2022-05-04,234.16
2022-05-05,238.6
2022-05-06,240.1
2022-05-11,241.99
2022-05-12,230.56
2022-05-13,235.52
2022-05-16,244.2
2022-05-17,258.8
2022-05-18,264.84
2022-05-19,266.68
2022-05-20,263.0
2022-05-23,263.0
2022-05-24,265.8
2022-05-25,271.4
2022-05-26,295.89
2022-05-27,294.5
2022-05-30,300.8
2022-05-31,293.75
2022-06-01,297.69
2022-06-02,296.0
2022-06-03,297.0
2022-06-06,296.5
2022-06-07,297.99
2022-06-08,308.0
2022-06-09,306.5
2022-06-10,309.2
2022-06-14,317.69
2022-06-15,316.2
2022-06-16,316.99
2022-06-17,315.5
2022-06-20,311.98
2022-06-21,301.58
2022-06-22,295.8
2022-06-23,303.5
2022-06-24,296.0
2022-06-27,296.2
2022-06-28,297.2
2022-06-29,297.65
2022-06-30,207.0
2022-07-01,192.5
2022-07-04,186.25
2022-07-05,197.3
2022-07-06,195.42
2022-07-07,197.92
2022-07-08,198.0
2022-07-11,188.9
2022-07-12,191.4
2022-07-13,186.0
2022-07-14,184.55
2022-07-15,187.61
2022-07-18,186.7
2022-07-19,189.51
2022-07-20,193.3
2022-07-21,189.59
2022-07-22,192.25
2022-07-25,192.0
2022-07-26,193.95
2022-07-27,196.49
2022-07-28,196.25
2022-07-29,195.26
2022-08-01,192.0
2022-08-02,187.16
2022-08-03,187.04
2022-08-04,184.9
2022-08-05,176.58
2022-08-08,177.86
2022-08-09,181.04
2022-08-10,178.81
2022-08-11,174.1
2022-08-12,174.36
2022-08-15,174.8
2022-08-16,181.3
2022-08-17,176.5
2022-08-18,178.87
2022-08-19,177.6
2022-08-22,181.7
2022-08-23,184.3
2022-08-24,182.83
2022-08-25,181.9
2022-08-26,183.62
2022-08-29,190.0
2022-08-30,204.0
2022-08-31,254.9
2022-09-01,249.11
2022-09-02,252.8
