<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20220401,000000,238.6000000,248.1000000,232.0000000,235.0000000,1405200
MTSS,D,20220404,000000,235.1500000,239.0500000,224.2000000,231.0000000,1081600
MTSS,D,20220405,000000,231.0000000,231.0500000,215.3500000,218.0000000,1019260
MTSS,D,20220406,000000,217.3000000,220.0000000,212.0000000,215.0000000,696630
MTSS,D,20220407,000000,216.0000000,221.8500000,215.0500000,216.5000000,538620
MTSS,D,20220408,000000,233.9500000,234.9500000,213.0000000,215.2000000,2037190
MTSS,D,20220411,000000,217.8000000,217.8000000,210.1000000,211.7500000,685370
MTSS,D,20220412,000000,213.9500000,213.9500000,204.0000000,210.9000000,881920
MTSS,D,20220413,000000,214.0000000,215.9000000,210.0000000,210.5000000,722550
MTSS,D,20220414,000000,212.5000000,213.2000000,205.0000000,205.8000000,547160
MTSS,D,20220415,000000,205.6000000,211.7000000,200.4500000,207.3500000,1047950
MTSS,D,20220418,000000,207.9000000,213.4000000,203.2000000,203.8000000,906380
MTSS,D,20220419,000000,205.0000000,205.0000000,195.1000000,201.8000000,1191780
MTSS,D,20220420,000000,201.6000000,202.4000000,195.2500000,196.9500000,1602980
MTSS,D,20220421,000000,197.3000000,198.2500000,192.3000000,192.4000000,1073750
MTSS,D,20220422,000000,193.5000000,194.7500000,188.0500000,188.0500000,1036540
MTSS,D,20220425,000000,188.1000000,188.3000000,181.6500000,185.0000000,1339690
MTSS,D,20220426,000000,184.7000000,197.3000000,184.5500000,196.3500000,3911040
MTSS,D,20220427,000000,196.8000000,208.2000000,194.3500000,207.6000000,4755020
MTSS,D,20220428,000000,208.0000000,212.7000000,202.2500000,205.0000000,2838950
MTSS,D,20220429,000000,205.6500000,209.3500000,205.0500000,209.0500000,1112470
MTSS,D,20220504,000000,209.1000000,212.2000000,207.1500000,208.7000000,843570
MTSS,D,20220505,000000,209.0000000,214.9500000,208.7500000,214.1000000,1057770
MTSS,D,20220506,000000,213.7000000,214.4000000,209.2500000,211.0000000,907460
MTSS,D,20220511,000000,211.2500000,211.2500000,206.1000000,209.4500000,789890
